Timestamp, Frame Sequence, Left Eye gaze origin x, Left Eye gaze origin y, Left Eye gaze origin z, Left eye gaze direction normalized x, Left eye gaze direction normalized y, Left eye gaze direction normalized z, left pupil diameter mm, left eye openness, Right Eye gaze origin x, Right Eye gaze origin y, Right Eye gaze origin z, Right eye gaze direction normalized x, Right eye gaze direction normalized y, Right eye gaze direction normalized z, right pupil diameter mm, right eye openness
865068, 75672, 29.00795, 0.05674744, -29.91573, 0, 0, 0, -1, 0.6617882, -35.36354, -1.734528, -32.35754, 0, 0, 0, -1, 0.5332077
865077, 75673, 29.02147, 0.02674866, -29.9124, 0, 0, 0, -1, 0.7954779, -35.36177, -1.787491, -32.33022, 0, 0, 0, -1, 0.6437915
865093, 75675, 29.0569, -0.03462219, -29.8997, 0, 0, 0, -1, 0.8994775, -35.30449, -1.88298, -32.33069, 0, 0, 0, -1, 0.6771408
865102, 75676, 29.10593, -0.05723572, -29.89748, -0.5240936, 0.005767822, 0.8516235, 2.929428, 0.8994775, -35.29552, -1.929581, -32.30168, -0.5306854, -0.05134583, 0.8460083, 2.77005, 0.6771408
865110, 75677, 29.13432, -0.05252075, -29.8519, -0.5099487, -0.002334595, 0.8601837, 2.819092, 0.9732521, -35.27655, -1.977737, -32.28271, -0.5148926, -0.02420044, 0.8569031, 2.987335, 0.7202141
865127, 75679, 29.189, -0.08769226, -29.82346, -0.4913788, 0.01708984, 0.8707733, 2.836731, 1, -35.18861, -1.982407, -32.25316, -0.5312195, -0.05337524, 0.8455353, 2.822693, 1
865135, 75680, 29.21667, -0.08590698, -29.82303, -0.4943085, 0.02359009, 0.8689575, 2.843155, 1, -35.16182, -2.012482, -32.19133, -0.4941711, -0.01707458, 0.8691864, 2.986206, 1
865143, 75681, 29.26184, -0.1024475, -29.78656, -0.4886322, 0.0008850098, 0.8724823, 2.932159, 1, -35.14, -2.035187, -32.16367, -0.4890747, -0.03218079, 0.8716278, 3.037064, 1
865160, 75683, 29.34056, -0.09954834, -29.75774, -0.4880371, -0.006134033, 0.8727875, 2.905716, 1, -35.08829, -2.015625, -32.16106, -0.4986115, -0.02671814, 0.8664093, 3.012115, 1
865168, 75684, 29.36562, -0.1303711, -29.73866, -0.4691772, -0.00402832, 0.8830872, 2.895218, 1, -35.04613, -2.004822, -32.12015, -0.4847107, -0.01780701, 0.8744812, 2.85556, 1
865177, 75685, 29.43242, -0.1249695, -29.74341, -0.4821014, 0.001266479, 0.8760986, 2.867996, 1, -35.01489, -2.003769, -32.07771, -0.467865, -0.01199341, 0.8837128, 2.964478, 1
865193, 75687, 29.51709, -0.105957, -29.6873, -0.4676361, -0.01179504, 0.8838348, 2.876831, 1, -34.96487, -1.979004, -32.03954, -0.4621277, -0.01487732, 0.886673, 2.949371, 1
865202, 75688, 29.56181, -0.1052856, -29.67918, -0.4630737, -0.001556396, 0.8863068, 3.013855, 1, -34.9245, -1.987732, -31.99785, -0.4465179, -0.01257324, 0.8946838, 2.964798, 1
865210, 75689, 29.60005, -0.1103668, -29.65685, -0.4416046, 0.01017761, 0.8971405, 2.896057, 1, -34.87152, -1.96759, -31.9722, -0.4482574, -0.01019287, 0.8938293, 2.987732, 1
865227, 75691, 29.68835, -0.122406, -29.60945, -0.4156799, 0.008514404, 0.9094696, 2.870316, 1, -34.74939, -1.941696, -31.89983, -0.4431152, -0.01916504, 0.8962402, 2.949356, 1
865235, 75692, 29.74506, -0.1364441, -29.58736, -0.410202, 0.000579834, 0.9119873, 2.810043, 1, -34.72122, -1.94249, -31.87961, -0.4345245, -0.01394653, 0.9005432, 2.937363, 1
865243, 75693, 29.79254, -0.1478882, -29.5779, -0.408844, 0.002441406, 0.9125824, 2.809998, 1, -34.6779, -1.944534, -31.85698, -0.4282227, -0.01348877, 0.9035645, 2.794434, 1
865260, 75695, 29.82196, -0.1682892, -29.55646, -0.3945007, -0.000579834, 0.9188843, 2.836441, 1, -34.65692, -1.990265, -31.82196, -0.4095306, -0.005462646, 0.912262, 2.905212, 1
865268, 75696, 29.69649, -0.1606598, -29.62466, -0.4329987, 0.0001525879, 0.9013824, 2.833862, 1, -34.76376, -1.990479, -31.92838, -0.4503174, -0.01792908, 0.8926697, 3.078537, 1
865277, 75697, 29.50661, -0.180954, -29.70314, -0.4775696, -0.01272583, 0.8784943, 2.955261, 1, -34.89233, -2.000198, -32.0311, -0.4801636, -0.02520752, 0.8768005, 3.010193, 1
865293, 75699, 29.22787, -0.2113342, -29.80202, -0.4936066, 0.007766724, 0.8696289, 2.848358, 1, -35.10495, -2.097534, -32.17189, -0.5100708, -0.05213928, 0.8585358, 2.95105, 1
865302, 75700, 29.27748, -0.236496, -29.76714, -0.4729614, 0.01066589, 0.8809967, 2.914032, 1, -35.08316, -2.127197, -32.12981, -0.4895935, -0.04605103, 0.8707275, 3.029633, 1
865310, 75701, 29.35695, -0.2426758, -29.7347, -0.4691162, -0.004089355, 0.8831177, 3.001678, 1, -35.01804, -2.131851, -32.08618, -0.4819794, -0.04711914, 0.8749084, 3.004776, 1
865327, 75703, 29.44077, -0.2228851, -29.6994, -0.461319, -0.01612854, 0.8870697, 2.885529, 1, -35.00018, -2.146988, -32.06744, -0.466507, -0.03942871, 0.8836212, 3.031479, 1
