Timestamp, Left pupil_Diameter_mm, Right pupil_diameter_mm
870417, 2.884613, 3.204803
870434, 2.920746, 3.121155
870442, 2.882904, 3.093277
870451, 2.891098, 3.069534
870467, 2.913467, 3.01326
870476, 2.984222, 3.06369
870484, 2.945511, 3.023468
870501, 2.942917, 2.98645
870509, 2.948685, 2.937241
870517, 2.943115, 3.012863
870534, 2.922684, 3.04837
870542, 2.753204, 3.062531
870551, 2.877029, 3.011963
870567, 2.893967, 3.054382
870576, 2.884521, 3.062866
870584, 2.875412, 3.07132
870601, 2.816452, 3.086594
870609, 2.809067, 3.088608
870617, 2.801285, 3.090439
870634, 2.798416, 3.087204
870642, 2.798706, 3.089523
870651, 2.799149, 3.08699
870667, 2.797485, 3.091293
870676, 2.797287, 3.093109
870684, 2.795502, 3.099625
870701, 2.794205, 3.098999
870709, 2.777069, 3.091644
870717, 2.792297, 3.090225
870734, 2.643173, 3.028137
870742, 2.774963, 2.944122
870751, 2.736725, 2.815033
870767, 2.826584, 2.783966
870776, 2.79985, 2.849731
870784, 2.874191, 2.876602
870801, 2.782089, 2.850098
870809, 2.795822, 2.82019
870817, 2.872772, 2.871643
870834, 2.691208, 2.948425
870842, 2.705658, 3.030167
870851, 2.719162, 2.984619
870867, 2.659607, 2.962692
870876, 2.924347, 2.841644
870884, 2.797852, 2.808258
870901, 2.709686, 2.884842
870909, 2.962891, 2.987671
870917, 2.799072, 2.748322
870934, 2.742996, 2.953751
870942, 2.768661, 2.991394
870951, 2.7845, 2.800201
870967, 2.774643, 2.963638
870976, 2.793686, 2.892746
870984, 2.793808, 2.911896
871001, 2.692917, 2.883331
871009, 2.744522, 2.752975
871017, 2.734467, 2.906006
871034, 2.753845, 2.912277
871042, 2.755341, 2.842865
871051, 2.79837, 2.850037
871067, -1, -1
871076, -1, -1
871092, -1, -1
871101, -1, -1
871109, -1, -1
871126, -1, -1
871134, -1, -1
871142, -1, -1
871159, -1, -1
871167, -1, -1
871176, -1, -1
871192, -1, -1
871201, -1, -1
871209, -1, -1
871226, -1, -1
871234, -1, -1
871242, -1, -1
871259, -1, -1
871267, -1, -1
871276, -1, -1
871292, -1, -1
871301, -1, -1
871309, -1, -1
871326, -1, -1
871334, -1, -1
871342, -1, -1
871359, -1, -1
871367, -1, -1
871376, -1, -1
871392, -1, -1
871401, -1, -1
871409, -1, -1
871426, -1, -1
871434, -1, -1
871442, -1, -1
871459, -1, -1
871467, -1, -1
871476, -1, -1
871492, -1, -1
871501, -1, -1
871509, -1, -1
871526, -1, -1
871534, -1, -1
871542, -1, -1
871559, -1, -1
871567, -1, -1
871576, -1, -1
871592, -1, -1
871601, -1, -1
871617, -1, -1
871625, -1, -1
871634, -1, -1
871642, -1, -1
871659, -1, -1
871667, -1, -1
871675, -1, -1
